nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_28d,timeframe_14d
all,CH,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202010,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-10,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202011,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-11,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-12,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-13,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-14,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-15,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-16,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-17,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-18,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-19,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-20,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,8670300,NA,NA,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-21,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202022,26341,205,26136,26341,0.8,NA,0.8,1,100,8670300,303.81,303.81,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-22,26341,303.81,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202023,25652,154,25498,51993,0.6,-0.20000000000000007,0.7,1,100,8670300,295.86,599.67,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-23,-689,-7.95,-2.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202024,35718,221,35497,87711,0.6,0,0.7,1,100,8670300,411.96,1011.63,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-24,10066,116.1,39.2,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202025,48257,203,48054,135968,0.4,-0.19999999999999996,0.6,1,100,8670300,556.58,1568.2,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-25,12539,144.62,35.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202026,57314,393,56921,193282,0.7,0.29999999999999993,0.6,1,100,8670300,661.04,2229.24,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-26,9057,104.46,18.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202027,69895,751,69144,263177,1.1,0.40000000000000013,0.7,1,100,8670300,806.14,3035.39,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-27,12581,145.1,22,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202028,49433,765,48668,312610,1.5,0.3999999999999999,0.9,1,100,8670300,570.14,3605.53,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-28,-20462,-236,-29.3,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202029,42569,841,41728,355179,2,0.5,1,1,100,8670300,490.97,4096.5,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-29,-6864,-79.17,-13.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202030,35529,921,34608,390708,2.6,0.6000000000000001,1.1,1,100,8670300,409.78,4506.28,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-30,-7040,-81.19,-16.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202031,37358,1311,36047,428066,3.5,0.8999999999999999,1.3,1,100,8670300,430.87,4937.15,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-31,1829,21.09,5.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202032,38689,1267,37422,466755,3.3,-0.20000000000000018,1.5,1,100,8670300,446.22,5383.38,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-32,1331,15.35,3.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202033,41690,1693,39997,508445,4.1,0.7999999999999998,1.7,1,100,8670300,480.84,5864.21,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-33,3001,34.62,7.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202034,57494,2083,55411,565939,3.6,-0.49999999999999956,1.9,1,100,8670300,663.11,6527.33,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-34,15804,182.27,37.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202035,73382,2293,71089,639321,3.1,-0.5,2,1,100,8670300,846.36,7373.69,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-35,15888,183.25,27.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202036,87133,2702,84431,726454,3.1,0,2.2,1,100,8670300,1004.96,8378.65,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-36,13751,158.6,18.7,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202037,90524,3236,87288,816978,3.6,0.5,2.3,1,100,8670300,1044.07,9422.72,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-37,3391,39.11,3.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202038,84604,3204,81400,901582,3.8,0.19999999999999973,2.5,1,100,8670300,975.79,10398.51,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-38,-5920,-68.28,-6.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202039,67999,2507,65492,969581,3.7,-0.09999999999999964,2.6,1,100,8670300,784.28,11182.78,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-39,-16605,-191.51,-19.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202040,67763,3619,64144,1037344,5.3,1.5999999999999996,2.7,1,100,8670300,781.55,11964.34,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-40,-236,-2.73,-0.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202041,89352,8939,80413,1126696,10,4.7,3.3,1,100,8670300,1030.55,12994.89,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-41,21589,249,31.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202042,126495,19427,107068,1253191,15.4,5.4,4.5,1,100,8670300,1458.95,14453.84,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-42,37143,428.4,41.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202043,177166,39988,137178,1430357,22.6,7.200000000000001,6.8,1,100,8670300,2043.37,16497.2,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-43,50671,584.42,40.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202044,217282,57527,159755,1647639,26.5,3.8999999999999986,9.4,1,100,8670300,2506.05,19003.25,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-44,40116,462.68,22.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202045,206814,54890,151924,1854453,26.5,0,11.3,1,100,8670300,2385.32,21388.57,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-45,-10468,-120.73,-4.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202046,179893,43145,136748,2034346,24,-2.5,12.4,1,100,8670300,2074.82,23463.39,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-46,-26921,-310.5,-13,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202047,157874,32782,125092,2192220,20.8,-3.1999999999999993,13,1,100,8670300,1820.86,25284.25,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-47,-22019,-253.96,-12.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202048,160065,28158,131907,2352285,17.6,-3.1999999999999993,13.3,1,100,8670300,1846.13,27130.38,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-48,2191,25.27,1.4,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202049,164251,29163,135088,2516536,17.8,0.1999999999999993,13.6,1,100,8670300,1894.41,29024.79,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-49,4186,48.28,2.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202050,209628,31894,177734,2726164,15.2,-2.6000000000000014,13.7,1,100,8670300,2417.77,31442.56,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-50,45377,523.36,27.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202051,242406,31063,211343,2968570,12.8,-2.3999999999999986,13.7,1,100,8670300,2795.82,34238.38,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-51,32778,378.05,15.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202052,205385,25856,179529,3173955,12.6,-0.20000000000000107,13.6,1,100,8670300,2368.83,36607.21,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-52,-37021,-426.99,-15.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202053,148599,24880,123719,3322554,16.7,4.1,13.7,1,100,8670300,1713.89,38321.1,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-53,-56786,-654.94,-27.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202101,166508,24057,142451,3489062,14.4,-2.299999999999999,13.8,1,100,8670300,1920.44,40241.54,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-01,17909,206.55,12.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202102,146616,16864,129752,3635678,11.5,-2.9000000000000004,13.7,1,100,8670300,1691.01,41932.55,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-02,-19892,-229.43,-11.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202103,162173,14629,147544,3797851,9,-2.5,13.5,1,100,8670300,1870.44,43802.99,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-03,15557,179.43,10.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202104,166958,12535,154423,3964809,7.5,-1.5,13.2,1,100,8670300,1925.63,45728.63,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-04,4785,55.19,3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202105,185215,11282,173933,4150024,6.1,-1.4000000000000004,12.9,1,100,8670300,2136.2,47864.83,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-05,18257,210.57,10.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202106,193065,9159,183906,4343089,4.7,-1.3999999999999995,12.5,1,100,8670300,2226.74,50091.57,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-06,7850,90.54,4.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202107,175906,7906,168000,4518995,4.5,-0.20000000000000018,12.2,1,100,8670300,2028.83,52120.4,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-07,-17159,-197.91,-8.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202108,167196,8127,159069,4686191,4.9,0.40000000000000036,12,1,100,8670300,1928.38,54048.78,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-08,-8710,-100.45,-5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202109,173469,8425,165044,4859660,4.9,0,11.7,1,100,8670300,2000.73,56049.5,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-09,6273,72.35,3.8,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202110,193204,9791,183413,5052864,5.1,0.1999999999999993,11.5,1,100,8670300,2228.34,58277.85,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-10,19735,227.61,11.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202111,228062,11613,216449,5280926,5.1,0,11.2,1,100,8670300,2630.38,60908.23,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-11,34858,402.04,18,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202112,253189,13845,239344,5534115,5.5,0.40000000000000036,10.9,1,100,8670300,2920.19,63828.41,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-12,25127,289.81,11,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202113,274528,13903,260625,5808643,5.1,-0.40000000000000036,10.6,1,100,8670300,3166.3,66994.72,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-13,21339,246.11,8.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202114,202356,15386,186970,6010999,7.6,2.5,10.5,1,100,8670300,2333.9,69328.62,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-14,-72172,-832.4,-26.3,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202115,186078,15452,170626,6197077,8.3,0.7000000000000011,10.5,1,100,8670300,2146.15,71474.77,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-15,-16278,-187.75,-8,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202116,182539,15724,166815,6379616,8.6,0.29999999999999893,10.4,1,100,8670300,2105.34,73580.11,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-16,-3539,-40.81,-1.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202117,181714,13192,168522,6561330,7.3,-1.2999999999999998,10.3,1,100,8670300,2095.82,75675.93,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-17,-825,-9.52,-0.5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202118,175775,11316,164459,6737105,6.4,-0.8999999999999995,10.2,1,100,8670300,2027.32,77703.25,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-18,-5939,-68.5,-3.3,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202119,182276,8637,173639,6919381,4.7,-1.7000000000000002,10.1,1,100,8670300,2102.3,79805.55,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-19,6501,74.98,3.7,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202120,198562,8189,190373,7117943,4.1,-0.6000000000000005,9.9,1,100,8670300,2290.14,82095.69,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-20,16286,187.84,8.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202121,154783,5690,149093,7272726,3.7,-0.39999999999999947,9.8,1,100,8670300,1785.21,83880.9,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-21,-43779,-504.93,-22,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202122,161904,4017,157887,7434630,2.5,-1.2000000000000002,9.6,1,100,8670300,1867.34,85748.24,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-22,7121,82.13,4.6,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202123,141908,2767,139141,7576538,1.9,-0.6000000000000001,9.5,1,100,8670300,1636.71,87384.96,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-23,-19996,-230.63,-12.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202124,140277,1491,138786,7716815,1.1,-0.7999999999999998,9.3,1,100,8670300,1617.9,89002.86,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-24,-1631,-18.81,-1.1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202125,131245,923,130322,7848060,0.7,-0.40000000000000013,9.2,1,100,8670300,1513.73,90516.59,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-25,-9032,-104.17,-6.4,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202126,166385,1188,165197,8014445,0.7,0,9,1,100,8670300,1919.02,92435.61,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-26,35140,405.29,26.8,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202127,186785,2298,184487,8201230,1.2,0.5,8.8,1,100,8670300,2154.31,94589.92,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-27,20400,235.29,12.3,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202128,186943,4358,182585,8388173,2.3,1.0999999999999999,8.7,1,100,8670300,2156.13,96746.05,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-28,158,1.82,0.1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202129,159284,5798,153486,8547457,3.6,1.3000000000000003,8.6,1,100,8670300,1837.12,98583.17,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-29,-27659,-319.01,-14.8,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202130,143010,6201,136809,8690467,4.3,0.6999999999999997,8.5,1,100,8670300,1649.42,100232.6,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-30,-16274,-187.7,-10.2,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202131,129459,8673,120786,8819926,6.7,2.4000000000000004,8.5,1,100,8670300,1493.13,101725.73,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-31,-13551,-156.29,-9.5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202132,139050,16039,123011,8958976,11.5,4.8,8.5,1,100,8670300,1603.75,103329.48,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-32,9591,110.62,7.4,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202133,161937,20625,141312,9120913,12.7,1.1999999999999993,8.6,1,100,8670300,1867.72,105197.2,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-33,22887,263.97,16.5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202134,190454,20661,169793,9311367,10.8,-1.8999999999999986,8.7,1,100,8670300,2196.63,107393.83,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-34,28517,328.91,17.6,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202135,224083,21245,202838,9535450,9.5,-1.3000000000000007,8.7,1,100,8670300,2584.49,109978.32,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-35,33629,387.86,17.7,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202136,235955,21091,214864,9771405,8.9,-0.5999999999999996,8.7,1,100,8670300,2721.42,112699.73,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-36,11872,136.93,5.3,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202137,265498,14906,250592,10036903,5.6,-3.3000000000000007,8.6,1,100,8670300,3062.15,115761.89,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-37,29543,340.73,12.5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202138,256324,10719,245605,10293227,4.2,-1.3999999999999995,8.5,1,100,8670300,2956.35,118718.23,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-38,-9174,-105.8,-3.5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
all,CH,202139,251190,9010,242180,10544417,3.6,-0.6000000000000001,8.4,1,100,8670300,2897.13,121615.37,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-39,-5134,-59.22,-2,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
all,CH,202140,230031,7574,222457,10774448,3.3,-0.30000000000000027,8.3,1,100,8670300,2653.09,124268.46,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-40,-21159,-244.04,-8.4,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
all,CH,202141,163676,7237,156439,10938124,4.4,1.1000000000000005,8.2,1,100,8670300,1887.78,126156.23,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-41,-66355,-765.31,-28.8,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,CH,202142,164668,10093,154575,11102792,6.1,1.6999999999999993,8.2,1,100,8670300,1899.22,128055.45,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-42,992,11.44,0.6,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,CH,202143,174005,13014,160991,11276797,7.5,1.4000000000000004,8.2,1,100,8670300,2006.91,130062.36,COVID19Test,,2021-11-03_07-53-32,isoweek,2021-43,9337,107.69,5.7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202006,1,0,1,1,0,NA,0,1,100,8709355,0.01,0.01,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-06,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202007,1,0,1,2,0,0,0,1,100,8709355,0.01,0.02,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-07,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202009,1853,62,1791,1855,3.3,3.3,3.3,1,100,8709355,21.28,21.3,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-09,1852,21.27,185200,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202010,4796,555,4241,6651,11.6,8.3,9.3,1,100,8709355,55.07,76.37,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-10,2943,33.79,158.8,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202011,23622,2327,21295,30273,9.9,-1.6999999999999993,9.7,1,100,8709355,271.23,347.59,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-11,18826,216.16,392.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202012,52613,7390,45223,82886,14,4.1,12.5,1,100,8709355,604.1,951.69,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-12,28991,332.87,122.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202013,43689,8191,35498,126575,18.7,4.699999999999999,14.6,1,100,8709355,501.63,1453.32,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-13,-8924,-102.47,-17,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202014,40251,6800,33451,166826,16.9,-1.8000000000000007,15.2,1,100,8709355,462.16,1915.48,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-14,-3438,-39.47,-7.9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202015,32610,4329,28281,199436,13.3,-3.599999999999998,14.9,1,100,8709355,374.42,2289.91,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-15,-7641,-87.74,-19,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202016,27249,2445,24804,226685,9,-4.300000000000001,14.2,1,100,8709355,312.87,2602.78,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-16,-5361,-61.55,-16.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202017,28753,1646,27107,255438,5.7,-3.3,13.2,1,100,8709355,330.14,2932.92,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-17,1504,17.27,5.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202018,30093,1102,28991,285531,3.7,-2,12.2,1,100,8709355,345.53,3278.44,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-18,1340,15.39,4.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202019,28715,665,28050,314246,2.3,-1.4000000000000004,11.3,1,100,8709355,329.7,3608.14,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-19,-1378,-15.83,-4.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202020,32984,395,32589,347230,1.2,-1.0999999999999999,10.3,1,100,8709355,378.72,3986.86,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-20,4269,49.02,14.9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202021,25134,280,24854,372364,1.1,-0.09999999999999987,9.7,1,100,8709355,288.59,4275.45,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-21,-7850,-90.13,-23.8,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202022,26762,205,26557,399126,0.8,-0.30000000000000004,9.1,1,100,8709355,307.28,4582.73,COVID19Test,,2021-11-03_07-53-32,isoweek,2020-22,1628,18.69,6.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
